account_id,account_age_days,kyc_status,account_type,is_mule
ACC012F67DDA9,2160,FULL,SAVINGS,False
ACC5796BFF04A,1624,MINIMAL,SAVINGS,False
ACC836E4F4A1E,1477,MINIMAL,WALLET,False
ACC45DBB775E4,1979,FULL,SAVINGS,False
ACC169C3765FC,527,FULL,SAVINGS,False
ACCC602DC882B,729,FULL,SAVINGS,False
ACCEFD5DF3745,1407,FULL,SAVINGS,False
ACC4EC8767026,2271,FULL,SAVINGS,False
ACC8E2A69AA15,215,FULL,WALLET,False
ACC51A2179A64,2654,FULL,CURRENT,False
ACCEE3791C16E,558,FULL,SAVINGS,False
ACC39A7ACF982,594,FULL,CURRENT,False
ACC507FDF6EBE,1772,FULL,CURRENT,False
ACC7385C7F0B0,796,FULL,SAVINGS,False
ACCC904D40B2E,1732,FULL,SAVINGS,False
ACC550974E1C4,1851,FULL,CURRENT,False
ACC61638A02BB,417,FULL,SAVINGS,False
ACC0BC0CE5B66,1890,FULL,SAVINGS,False
ACC1E9AC0CC4E,2775,FULL,SAVINGS,False
ACCEEA4D78149,1470,FULL,SAVINGS,False
ACCD752F8A41A,479,FULL,SAVINGS,False
ACC5B5E759274,908,FULL,SAVINGS,False
ACCFA013216CD,573,FULL,SAVINGS,False
ACC9B077040BB,731,FULL,SAVINGS,False
ACC776EB2C267,789,FULL,SAVINGS,False
ACCB5EAD4C52C,2438,FULL,SAVINGS,False
ACCB41982BE21,1098,FULL,SAVINGS,False
ACC5C2E257618,1082,FULL,SAVINGS,False
ACCA335D2E5A9,124,FULL,SAVINGS,False
ACC6F74B1084F,1464,FULL,SAVINGS,False
ACCAA522AE06F,2955,FULL,WALLET,False
ACC436A472C68,913,FULL,SAVINGS,False
ACCD5FAB0CF70,519,FULL,CURRENT,False
ACC2E4253B372,1060,FULL,WALLET,False
ACC2901676DAA,2959,FULL,SAVINGS,False
ACC1735D25315,1216,FULL,CURRENT,False
ACC256D01B23C,1246,FULL,SAVINGS,False
ACCE699334E53,2250,MINIMAL,SAVINGS,False
ACC7741DC98C5,491,FULL,SAVINGS,False
ACCB0471EE50D,2170,FULL,SAVINGS,False
ACC277ABFC466,147,FULL,SAVINGS,False
ACCFD59F98440,1574,FULL,SAVINGS,False
ACC020A1D3AC3,542,FULL,SAVINGS,False
ACC9B157F9B6F,2247,FULL,SAVINGS,False
ACCCFBD37F9A9,634,FULL,SAVINGS,False
ACC66D20038B0,1741,FULL,SAVINGS,False
ACCDC989BD46F,2461,FULL,SAVINGS,False
ACCDA8CFAA6F7,2135,FULL,SAVINGS,False
ACCBA47866695,1330,FULL,CURRENT,False
ACCCAA1FBE12D,1024,FULL,WALLET,False
ACC4BFF0659C5,647,MINIMAL,WALLET,False
ACCC4E57C567A,1504,MINIMAL,SAVINGS,False
ACC5EFE41A801,1437,MINIMAL,SAVINGS,False
ACCF542A7255A,1904,FULL,SAVINGS,False
ACC11F456DDB2,2408,FULL,SAVINGS,False
ACCE579BF3770,2015,MINIMAL,WALLET,False
ACC54C3C680FF,2173,FULL,CURRENT,False
ACC051777709A,374,FULL,SAVINGS,False
ACCF25F38FF3A,2957,FULL,WALLET,False
ACC8A3ED3A5CA,919,FULL,SAVINGS,False
ACC1BD6135F9F,212,MINIMAL,SAVINGS,False
ACCA5FF3327C7,2145,FULL,SAVINGS,False
ACC05DFD05B72,459,FULL,CURRENT,False
ACC2F9CF1DFB3,1100,FULL,CURRENT,False
ACC67430B4B3F,807,FULL,SAVINGS,False
ACC2D32445163,1493,FULL,SAVINGS,False
ACCF813FB5CC9,2609,FULL,SAVINGS,False
ACCF80FC203DE,1761,FULL,CURRENT,False
ACC03BA5C77B6,2231,FULL,SAVINGS,False
ACC87CCC2BCDE,2238,FULL,SAVINGS,False
ACC4B6860CE38,2764,MINIMAL,SAVINGS,False
ACC8D0ED3ED08,1564,FULL,SAVINGS,False
ACC2E70FDAC1D,2485,FULL,SAVINGS,False
ACCDB5128FA3C,2014,FULL,CURRENT,False
ACC0A7191B569,1105,FULL,SAVINGS,False
ACC175D39ECE4,2072,FULL,SAVINGS,False
ACC1F99E74E26,2829,FULL,WALLET,False
ACCF8B442FAF9,312,FULL,SAVINGS,False
ACC0D28C2410D,1308,FULL,SAVINGS,False
ACCD22BCA5288,1801,FULL,SAVINGS,False
ACC410796D866,2994,FULL,SAVINGS,False
ACC3073D68CFF,834,FULL,SAVINGS,False
ACCA0E22FE3B9,1457,FULL,SAVINGS,False
ACC62DD1CDD51,2446,FULL,SAVINGS,False
ACC3BC24B6350,2720,FULL,SAVINGS,False
ACC9F47EF8C5C,512,FULL,CURRENT,False
ACCC97CA15709,625,FULL,SAVINGS,False
ACC462A4AE8B1,617,FULL,SAVINGS,False
ACCE1F08A2EEE,1906,FULL,SAVINGS,False
ACCE5CC5DDB49,1378,FULL,SAVINGS,False
ACCF17045FEB7,2056,MINIMAL,CURRENT,False
ACC6C02D92A8B,2764,FULL,SAVINGS,False
ACC3BFEC7914B,2685,FULL,WALLET,False
ACCAF47E52BEB,73,FULL,CURRENT,False
ACCA903A650EE,2401,FULL,SAVINGS,False
ACCAF9746B56A,1979,MINIMAL,SAVINGS,False
ACCEA94E4EC16,930,FULL,SAVINGS,False
ACC29A339532E,1367,FULL,SAVINGS,False
ACC60AA86E4F3,1164,FULL,SAVINGS,False
ACC348FFD8CD8,798,FULL,SAVINGS,False
ACC365CFEBC12,1381,MINIMAL,WALLET,False
ACCAE29EABA53,2787,FULL,SAVINGS,False
ACC77195AD6A7,2945,FULL,SAVINGS,False
ACC14FE398895,145,FULL,SAVINGS,False
ACCEE9046D7B9,2132,MINIMAL,WALLET,False
ACC9D0051F717,2724,FULL,SAVINGS,False
ACC8BA400CCE4,1994,FULL,CURRENT,False
ACCD9150F6A3A,180,FULL,SAVINGS,False
ACC4B2266B565,1529,FULL,CURRENT,False
ACC6C55853E73,1150,FULL,CURRENT,False
ACC7D58CF88D5,2412,FULL,SAVINGS,False
ACC525BBAE70D,2987,FULL,SAVINGS,False
ACCC6D7C41B8D,1253,MINIMAL,SAVINGS,False
ACC2BFECCA1BF,2169,FULL,SAVINGS,False
ACC81EC845DEB,1504,FULL,WALLET,False
ACC0C238D4B61,744,FULL,WALLET,False
ACC8C79CD883F,2192,FULL,SAVINGS,False
ACC637770E7B9,2525,MINIMAL,SAVINGS,False
ACC57F1C1B43E,1787,FULL,SAVINGS,False
ACCBD1ACE5128,1138,FULL,CURRENT,False
ACC45B0890D9A,2809,FULL,SAVINGS,False
ACCB23DF07DD3,1635,FULL,CURRENT,False
ACC02B765C686,2515,FULL,WALLET,False
ACC20A2E94FE9,567,FULL,CURRENT,False
ACCBFDAB5EA07,2760,MINIMAL,SAVINGS,False
ACC704DC1520B,763,FULL,WALLET,False
ACC9BF0476334,554,FULL,SAVINGS,False
ACCA2C603A84B,790,FULL,SAVINGS,False
ACC709A112EED,2266,MINIMAL,SAVINGS,False
ACC3C0FC7FA1A,2253,FULL,SAVINGS,False
ACC91520DE05A,1359,FULL,SAVINGS,False
ACC87BE4D924E,268,FULL,SAVINGS,False
ACC648DBB255E,1083,FULL,SAVINGS,False
ACC197B2699AC,398,FULL,SAVINGS,False
ACC4AAFB18A5C,729,FULL,SAVINGS,False
ACCE4857A9070,1555,FULL,WALLET,False
ACC2406AC6630,1763,FULL,SAVINGS,False
ACC40B3EDF992,1294,FULL,SAVINGS,False
ACC4836364ADD,2514,FULL,CURRENT,False
ACC7F7BB9D027,830,FULL,SAVINGS,False
ACC949F126A40,2578,FULL,SAVINGS,False
ACC1D7B95FBB2,1805,FULL,WALLET,False
ACCA8A741A3D1,154,FULL,SAVINGS,False
ACCDEC286E6AD,2627,FULL,SAVINGS,False
ACC780844BA05,69,FULL,SAVINGS,False
ACCEC22620009,1480,FULL,SAVINGS,False
ACC2F26CC2247,2322,FULL,SAVINGS,False
ACC553C2497E3,2622,FULL,WALLET,False
ACC75169A9ADC,1366,FULL,WALLET,False
ACCB4C4938B13,1949,FULL,CURRENT,False
ACC489BE0CE15,2202,MINIMAL,CURRENT,False
ACC64A0BAA277,359,FULL,SAVINGS,False
ACC700455CF3D,2341,FULL,CURRENT,False
ACCB1EBADC077,1901,FULL,SAVINGS,False
ACC98988E704B,1334,FULL,SAVINGS,False
ACC12FCE24066,2220,MINIMAL,SAVINGS,False
ACCAC35DDB660,321,FULL,SAVINGS,False
ACCCB445107D6,1401,FULL,SAVINGS,False
ACC319817587A,1349,FULL,SAVINGS,False
ACC1AF8BBD813,1006,FULL,CURRENT,False
ACC1548650606,2032,FULL,SAVINGS,False
ACC932017B982,495,FULL,SAVINGS,False
ACCE47D90A05C,96,FULL,SAVINGS,False
ACCA34FA588AB,2198,FULL,SAVINGS,False
ACC9E042446BA,2165,FULL,CURRENT,False
ACC73A08DC72C,2407,FULL,SAVINGS,False
ACC65C86FEFE0,2202,FULL,SAVINGS,False
ACC03CAD25433,341,FULL,SAVINGS,False
ACC88530DB377,462,FULL,SAVINGS,False
ACC77554A88C0,1030,FULL,SAVINGS,False
ACCAB504F66EC,2179,FULL,SAVINGS,False
ACC856295DD73,178,FULL,CURRENT,False
ACC69210790ED,2333,FULL,SAVINGS,False
ACCC1576532D8,1486,MINIMAL,WALLET,False
ACCF6381F0F27,2141,FULL,SAVINGS,False
ACC4BD1DA22D9,808,FULL,WALLET,False
ACCF9CF746E85,403,FULL,SAVINGS,False
ACC6C15CF405A,1205,FULL,SAVINGS,False
ACCA68E2B4976,322,MINIMAL,CURRENT,False
ACCF8E5A5873D,2633,FULL,SAVINGS,False
ACCE07C17EBA1,248,FULL,SAVINGS,False
ACC8769BACECC,388,FULL,SAVINGS,False
ACC9837E450E4,396,FULL,SAVINGS,False
ACC07DE561F81,704,FULL,SAVINGS,False
ACC0AD6356667,1172,MINIMAL,SAVINGS,False
ACC429A8DD56B,107,FULL,CURRENT,False
ACC5B58A0E62B,2351,MINIMAL,CURRENT,False
ACCC818F0493B,1972,MINIMAL,SAVINGS,False
ACC9B8ED8B6C6,749,FULL,SAVINGS,False
ACCFB7BCA0D37,1584,FULL,SAVINGS,False
ACC132BE41D61,2777,FULL,SAVINGS,False
ACCF97A0656B9,2822,FULL,SAVINGS,False
ACCEC739C493E,1575,MINIMAL,WALLET,False
ACC662D1788F2,2390,FULL,SAVINGS,False
ACC4FA3CDB598,2206,FULL,SAVINGS,False
ACC44F72CD3DD,748,FULL,SAVINGS,False
ACC7EC9984676,1961,FULL,SAVINGS,False
ACC14A0964AD6,2742,FULL,SAVINGS,False
ACC6550A3F986,2190,FULL,SAVINGS,False
ACC8900CF090F,1849,FULL,WALLET,False
ACC1945BFC0F3,2591,FULL,SAVINGS,False
ACC98352596FE,1360,FULL,SAVINGS,False
ACC6E35499C15,1151,FULL,SAVINGS,False
ACCB7C74BD9FF,1248,FULL,CURRENT,False
ACC037A696C88,1244,MINIMAL,CURRENT,False
ACCBC984BC2C8,2274,FULL,SAVINGS,False
ACCC7B380CD44,2948,MINIMAL,WALLET,False
ACC0AB60A4596,2865,FULL,SAVINGS,False
ACC842A0431BF,1607,FULL,SAVINGS,False
ACC617DFC8FD6,880,FULL,SAVINGS,False
ACC09C0B43860,1578,FULL,SAVINGS,False
ACC9955CB4D65,1023,FULL,SAVINGS,False
ACC11E4E7EAB9,830,FULL,CURRENT,False
ACCDB11EC78BB,542,FULL,SAVINGS,False
ACCBA266BBE84,272,FULL,CURRENT,False
ACCF266F216AD,2134,FULL,SAVINGS,False
ACC343C44E31B,2861,FULL,SAVINGS,False
ACCD66ECA3B17,2122,FULL,SAVINGS,False
ACC02B027E8F4,2102,FULL,WALLET,False
ACC803C410B00,2183,FULL,SAVINGS,False
ACC1CE0BFF13E,2581,MINIMAL,SAVINGS,False
ACC74C367DC3B,1029,FULL,SAVINGS,False
ACC30FF2E5BD2,149,FULL,SAVINGS,False
ACCBD9666BC6E,1642,FULL,CURRENT,False
ACCDA41E404CD,806,FULL,SAVINGS,False
ACC76A6C90FB0,508,FULL,SAVINGS,False
ACC6AF56BD221,2634,FULL,CURRENT,False
ACC40EECE8582,992,FULL,CURRENT,False
ACC0EB988BB3D,301,FULL,SAVINGS,False
ACC3E608068A7,1725,FULL,SAVINGS,False
ACCA02DB1CE7C,2301,MINIMAL,SAVINGS,False
ACC211AD36511,384,FULL,SAVINGS,False
ACC6882BFD155,437,MINIMAL,SAVINGS,False
ACC6481F3395A,566,FULL,SAVINGS,False
ACC5115D2DEA8,286,FULL,SAVINGS,False
ACC73B6BB5239,433,MINIMAL,SAVINGS,False
ACC78E3D831E2,311,FULL,SAVINGS,False
ACC0558A5EF43,476,FULL,SAVINGS,False
ACC1014BB6927,2497,FULL,SAVINGS,False
ACC90586CE044,1810,FULL,SAVINGS,False
ACC042F333A57,340,FULL,SAVINGS,False
ACCE0C6F9A7F3,2560,FULL,SAVINGS,False
ACCE1708538B9,2399,FULL,CURRENT,False
ACCB0CD60F067,772,FULL,SAVINGS,False
ACC3EFB24E4E3,1061,FULL,SAVINGS,False
ACC08A010EFE0,1097,FULL,WALLET,False
ACCE8B976D68A,1839,FULL,CURRENT,False
ACCA429B5EB3D,1117,FULL,CURRENT,False
ACC933C1A5401,841,FULL,SAVINGS,False
ACC3011E3567D,2642,FULL,SAVINGS,False
ACC130D86FD2B,2537,FULL,SAVINGS,False
ACC5AAFB33C83,1556,MINIMAL,WALLET,False
ACCF50BEA1AE3,1885,FULL,SAVINGS,False
ACC69BF9EF67D,1489,FULL,SAVINGS,False
ACC18EAC242FB,1995,FULL,SAVINGS,False
ACCFD7F802124,124,MINIMAL,SAVINGS,False
ACC900EEC8190,253,FULL,SAVINGS,False
ACC11D7CB6867,1258,MINIMAL,WALLET,False
ACC361B8BA6F9,874,FULL,SAVINGS,False
ACC2944DD5E0F,2932,FULL,CURRENT,False
ACCADFB3BA3AF,1898,FULL,SAVINGS,False
ACCDC8C50D610,2558,FULL,SAVINGS,False
ACCA86B52BBEA,969,FULL,WALLET,False
ACCF53361413E,324,MINIMAL,CURRENT,False
ACCEDCC14F04E,180,FULL,WALLET,False
ACCAFC4BEB487,128,FULL,CURRENT,False
ACCA7AF36AF99,1549,FULL,CURRENT,False
ACC87D0CA3665,239,FULL,SAVINGS,False
ACC1B70EE3982,2226,FULL,SAVINGS,False
ACC2A15D98A7D,1887,MINIMAL,SAVINGS,False
ACCFFB4187556,2633,FULL,CURRENT,False
ACCA5FF66BA74,417,FULL,SAVINGS,False
ACC3AC1551665,1922,FULL,SAVINGS,False
ACCF86F2CDA69,2855,FULL,CURRENT,False
ACC5A541029A3,1611,FULL,SAVINGS,False
ACC4D11D3B2AB,71,FULL,SAVINGS,False
ACCA84F1C8C0E,926,FULL,SAVINGS,False
ACC087A42F490,2333,FULL,SAVINGS,False
ACCE3FC95B3A9,1930,FULL,CURRENT,False
ACC244F018FF1,729,FULL,SAVINGS,False
ACC2729A7B98B,1628,FULL,SAVINGS,False
ACCAC9B966D4B,798,FULL,WALLET,False
ACCB99A083335,2650,FULL,SAVINGS,False
ACC2A4199DD6C,2218,FULL,SAVINGS,False
ACC916A4B46A0,957,FULL,SAVINGS,False
ACC0E338B12FF,1280,FULL,SAVINGS,False
ACC9FA32F9C5C,2953,FULL,SAVINGS,False
ACCEA7E68FA95,2806,FULL,SAVINGS,False
ACC21B3E93E4E,1253,FULL,WALLET,False
ACCC87D5919C9,223,MINIMAL,SAVINGS,False
ACCF6E71C8196,855,FULL,WALLET,False
ACC3D6C2E20D9,1320,FULL,SAVINGS,False
ACC145893E99E,1066,FULL,SAVINGS,False
ACC6BAAF5A43A,1399,FULL,SAVINGS,False
ACC554444A5F1,2799,FULL,SAVINGS,False
ACC537C51497F,2856,FULL,SAVINGS,False
ACC2A536C50D7,1517,FULL,WALLET,False
ACCADB2E3A666,2179,FULL,SAVINGS,False
ACC110198319E,361,FULL,CURRENT,False
ACC86243F2B59,1805,FULL,SAVINGS,False
ACC0E88BD3F98,191,FULL,CURRENT,False
ACC9E75D5B04F,522,FULL,SAVINGS,False
ACC954A032DC4,528,FULL,SAVINGS,False
ACC598D19F802,880,FULL,SAVINGS,False
ACCE328399AF0,66,FULL,CURRENT,False
ACC5179B01B79,1468,FULL,WALLET,False
ACCF3214DAAD4,571,FULL,CURRENT,False
ACC4FF237E102,1290,FULL,SAVINGS,False
ACC6C5F24723D,2308,FULL,SAVINGS,False
ACC07317D06FB,1537,MINIMAL,SAVINGS,False
ACC040E249A48,2376,FULL,WALLET,False
ACC89DB085807,1329,MINIMAL,SAVINGS,False
ACC61A739C71A,1384,FULL,CURRENT,False
ACC4D61F06C9E,794,FULL,SAVINGS,False
ACCF8B61402CE,953,MINIMAL,SAVINGS,False
ACC1FEA5B5596,1892,FULL,SAVINGS,False
ACC6214DE54EE,1218,FULL,SAVINGS,False
ACC7C72EDAE91,1932,FULL,CURRENT,False
ACCFA2154A533,2181,FULL,CURRENT,False
ACCD821CEE083,520,FULL,SAVINGS,False
ACC86F1FBFC2D,2166,MINIMAL,SAVINGS,False
ACCDFD21B0A3E,2393,MINIMAL,WALLET,False
ACCDAF3AACF4E,2788,FULL,SAVINGS,False
ACC232E1DB920,2347,MINIMAL,CURRENT,False
ACC305E13E0E2,2150,FULL,WALLET,False
ACC954455952A,2280,FULL,CURRENT,False
ACCC2F5C173FA,764,FULL,SAVINGS,False
ACC3FCBB9A011,2318,FULL,CURRENT,False
ACCC1BB18E58F,254,MINIMAL,WALLET,False
ACC791A4D7503,1314,FULL,SAVINGS,False
ACC45DC94D144,102,FULL,SAVINGS,False
ACCD05CAF8C1D,844,FULL,SAVINGS,False
ACC61C9ADADD2,926,FULL,SAVINGS,False
ACC430B75F599,1307,FULL,SAVINGS,False
ACCA6A59E109F,2197,FULL,SAVINGS,False
ACC915FF54812,2940,FULL,SAVINGS,False
ACC897C2C4CFF,1671,FULL,SAVINGS,False
ACC9ADA476889,146,FULL,SAVINGS,False
ACC16DDD9FD4D,1280,FULL,SAVINGS,False
ACC9E0A4A4639,1297,FULL,SAVINGS,False
ACC6C61370A04,384,MINIMAL,SAVINGS,False
ACC2FB6FBD8D2,1469,FULL,SAVINGS,False
ACCF715815BBA,364,MINIMAL,SAVINGS,False
ACCC867D53624,2123,FULL,CURRENT,False
ACCFB1E1CC88B,1870,FULL,CURRENT,False
ACC8FBEDB1430,2502,FULL,SAVINGS,False
ACC293E3C21AE,864,FULL,SAVINGS,False
ACC9D4FAA2B32,809,FULL,SAVINGS,False
ACCF87CBCE1B3,2023,FULL,SAVINGS,False
ACCB2E725EB1F,1536,FULL,SAVINGS,False
ACC5EB79682C0,2464,FULL,WALLET,False
ACC13C2DCB95C,124,FULL,SAVINGS,False
ACC4E841E518C,1094,FULL,SAVINGS,False
ACC5E459B2CDF,971,FULL,SAVINGS,False
ACCED7B1B9FD6,2152,FULL,WALLET,False
ACC8C5C90EFAE,1929,FULL,SAVINGS,False
ACC5E5823BACC,1120,FULL,CURRENT,False
ACCCA5C213FBC,2820,FULL,SAVINGS,False
ACCED8FD8A8DE,1695,FULL,SAVINGS,False
ACCE13DD8EA58,2375,FULL,SAVINGS,False
ACCEF8DD9CBEC,742,FULL,CURRENT,False
ACC0C7E75FD63,579,FULL,SAVINGS,False
ACC61E6D8E016,140,FULL,SAVINGS,False
ACC3DC02699CE,946,MINIMAL,SAVINGS,False
ACCD1F4B0E9FE,2826,FULL,SAVINGS,False
ACCF712D7179C,1595,FULL,WALLET,False
ACC95C86D4506,2163,FULL,SAVINGS,False
ACC5603F64910,530,FULL,SAVINGS,False
ACC301C6A8B70,461,FULL,CURRENT,False
ACCE7D72A06B5,759,FULL,SAVINGS,False
ACC8374E270FB,827,MINIMAL,SAVINGS,False
ACC37A8953220,604,MINIMAL,SAVINGS,False
ACC5BF55E772C,2124,FULL,SAVINGS,False
ACC98CAACDF79,2605,FULL,SAVINGS,False
ACC99AD5605AC,1445,FULL,SAVINGS,False
ACC515EC1246E,554,FULL,SAVINGS,False
ACC94B91AE8D4,2405,FULL,WALLET,False
ACCB5E3ABB572,937,FULL,SAVINGS,False
ACC5ED9D1B0D1,1334,MINIMAL,SAVINGS,False
ACCCA9B0679EC,1512,FULL,CURRENT,False
ACCED76591FBE,246,FULL,CURRENT,False
ACC8EA5D68A6A,320,FULL,WALLET,False
ACC01B0C86DC7,327,MINIMAL,SAVINGS,False
ACCC5F46D13D8,1136,FULL,SAVINGS,False
ACC0072BF9CE3,1417,FULL,SAVINGS,False
ACC14251B37B2,2714,FULL,SAVINGS,False
ACC33B8D45DFB,1360,FULL,SAVINGS,False
ACCC3A48816AA,826,MINIMAL,WALLET,False
ACC03CAAE3025,1466,FULL,SAVINGS,False
ACC0DB88474BA,37,FULL,CURRENT,False
ACCD193D7D163,2208,MINIMAL,SAVINGS,False
ACC1C0136B89E,508,FULL,WALLET,False
ACC2A12A2DB69,2354,FULL,SAVINGS,False
ACCA24C90C249,2115,FULL,SAVINGS,False
ACCF257D0FC66,1565,FULL,CURRENT,False
ACCB6B7734ABD,565,FULL,WALLET,False
ACC50B19B6529,2168,MINIMAL,SAVINGS,False
ACC6184AD0300,2210,FULL,SAVINGS,False
ACC17C88F33AA,78,FULL,WALLET,False
ACC78245B28DB,1617,FULL,SAVINGS,False
ACC03BBF51394,1078,FULL,SAVINGS,False
ACC73E81E9FB2,318,FULL,SAVINGS,False
ACCE6DE188076,2602,MINIMAL,SAVINGS,False
ACC0616CC179D,1851,FULL,SAVINGS,False
ACC6929726BFE,1942,FULL,SAVINGS,False
ACC1A3328A5A4,240,FULL,SAVINGS,False
ACC57DF329A83,1644,FULL,SAVINGS,False
ACC565E681743,226,FULL,SAVINGS,False
ACC3F98DC4E57,862,FULL,WALLET,False
ACC41DE7E448C,2494,FULL,SAVINGS,False
ACC5E8CE6A904,477,FULL,CURRENT,False
ACCB716048F36,1182,FULL,SAVINGS,False
ACC32BA21B17B,213,MINIMAL,SAVINGS,False
ACCB14A5D4285,1738,FULL,CURRENT,False
ACC14E412944E,1753,FULL,SAVINGS,False
ACC1C44AD36A5,1418,FULL,SAVINGS,False
ACC72FECF47F0,356,FULL,SAVINGS,False
ACC1D03F765A9,2332,FULL,SAVINGS,False
ACC3D94E21637,1049,FULL,SAVINGS,False
ACCD3E81BA162,2408,FULL,CURRENT,False
ACCAF8196848B,1390,FULL,WALLET,False
ACC9D39DBB8BB,2068,FULL,SAVINGS,False
ACCC5E18A9B03,2150,FULL,SAVINGS,False
ACC0817614F83,150,FULL,SAVINGS,False
ACC41F1EBB977,81,MINIMAL,SAVINGS,False
ACCBD538C6314,1768,MINIMAL,SAVINGS,False
ACC9BF8690126,1099,FULL,WALLET,False
ACCFA0CFFD75C,239,FULL,CURRENT,False
ACCFCBC76BC26,1162,MINIMAL,SAVINGS,False
ACCCB2A473125,1828,FULL,WALLET,False
ACC3C7CEB0BAC,890,FULL,SAVINGS,False
ACC66D884A726,1973,MINIMAL,SAVINGS,False
ACCE480FE1435,1203,FULL,SAVINGS,False
ACC449C0F269B,1217,FULL,SAVINGS,False
ACCB3092B7307,2723,FULL,SAVINGS,False
ACC4248C25972,735,FULL,WALLET,False
ACC9824CEAF8D,890,FULL,SAVINGS,False
ACC8A5793FF29,2919,FULL,SAVINGS,False
ACCE4077FC9BE,711,FULL,SAVINGS,False
ACC677C98BEB4,516,FULL,SAVINGS,False
ACC79BB271C84,2032,FULL,SAVINGS,False
ACC68B6CADF56,2774,FULL,CURRENT,False
ACC7CA65CA6D3,642,FULL,SAVINGS,False
ACC2F68538574,1407,FULL,SAVINGS,False
ACCF7E9EB3FF0,805,FULL,SAVINGS,False
ACC04A20F3DB8,1245,FULL,SAVINGS,False
ACC8F55AFF6C2,2929,FULL,CURRENT,False
ACC18491D3DA1,319,FULL,SAVINGS,False
ACC6FB0C5F983,1205,FULL,CURRENT,False
ACC4960EC2EE4,1507,FULL,SAVINGS,False
ACC6F9D1AFFF5,218,FULL,SAVINGS,False
ACCD43DA84CE5,1354,FULL,SAVINGS,False
ACCB74032FBC1,33,FULL,CURRENT,False
ACCCAC48A97AB,1557,FULL,SAVINGS,False
ACC86D052D7C1,2300,FULL,SAVINGS,False
ACC13A17F22D6,323,FULL,CURRENT,False
ACC6090D64470,2575,FULL,WALLET,False
ACCD3AC03A6B5,285,FULL,CURRENT,False
ACC293C2DF598,1411,FULL,WALLET,False
ACC457B5DE939,1294,FULL,SAVINGS,False
ACCB0CFFE1ADA,2029,FULL,SAVINGS,False
ACC1EA8E91831,2631,FULL,SAVINGS,False
ACC4D756C75C1,1468,FULL,CURRENT,False
ACC639BB9BA17,2600,FULL,CURRENT,False
ACCC06972FCE3,301,FULL,SAVINGS,False
ACC07AC38E9BD,272,FULL,SAVINGS,False
ACC8FF59A1A31,340,FULL,SAVINGS,False
ACCF5A8A68432,973,FULL,SAVINGS,False
ACCAA05BE2024,1851,FULL,CURRENT,False
ACC9116DA63B0,2178,FULL,WALLET,False
ACC4265A61074,1920,FULL,WALLET,False
ACC53CDF35B48,1395,FULL,WALLET,False
ACCFC5957C37B,1580,FULL,SAVINGS,False
ACCB3E7096A7E,1821,FULL,CURRENT,False
ACCCF26BEBCB2,772,FULL,SAVINGS,False
ACC079EBAECED,340,MINIMAL,CURRENT,False
ACC2DEACD816E,908,FULL,SAVINGS,False
ACCCCFE6E7B94,916,FULL,CURRENT,False
ACC41EA0EEA88,2428,FULL,SAVINGS,False
ACC720EAE26FA,2672,FULL,SAVINGS,False
ACCF2C1D52BC5,2719,FULL,SAVINGS,False
ACCAFFBED18AB,364,MINIMAL,SAVINGS,False
ACCA1EC3FD669,1151,FULL,SAVINGS,False
